Scenario,Question,Choice a,Choice b,Choice c,Choice d
A friend offers you money to skip practice and hang out instead.,What should you do? (Gi - Integrity),"Refuse and attend practice, being true to your commitment",Take the money and skip practice,Tell the coach you were sick even though you weren't,Invite more friends to skip with you
You see someone taking supplies from the dojo storage without permission.,What should you do? (Gi - Integrity),Report it to the instructor and explain what you saw,Confront them aggressively in front of others,Ignore it because it's not your problem,Take something back later without telling anyone
You are nervous about a tournament and want to withdraw last minute.,What should you do? (Yu - Courage),"Face your fear and compete, trusting your preparation",Quit and avoid the stress,Blame your coach for making you enter,Fake an injury so you don’t compete
A new student is afraid to try a breaking technique in class.,How can you respond? (Yu - Courage),Encourage them and support their attempt,Laugh at them to push them harder,Do the technique for them so they never try,Tell them it's too dangerous and avoid helping
You notice a teammate is always left out during drills.,What should you do? (Jin - Mercy),Include them and offer help so they can improve,Pretend you didn’t notice,Make fun of them to motivate them,Complain about them to others
A student is repeating the same mistake and getting discouraged.,How would you act? (Jin - Mercy),Patiently show the step and encourage practice,Yell at them to try harder,Give up on helping them,Do the technique for them so they don’t feel bad
Your instructor corrects you in front of the class and you feel embarrassed.,How should you react? (Rei - Respect),"Bow, listen, and apply the correction respectfully",Walk out of class,Argue loudly with the instructor,Mock the instructor afterward
A teammate wins and brags loudly in front of everyone.,What is the respectful response? (Rei - Respect),Congratulate them sincerely and stay humble,Call them out for showing off,Ignore them and leave the dojo,Start bragging louder to outdo them
You accidentally break a training pad during practice.,What should you do? (Makoto - Honesty),Admit it to the coach and offer to replace or fix it,Hide it and hope no one notices,Blame another student,Say it was already broken
You took extra time on the dojo mats and left them messy.,How do you handle it? (Makoto - Honesty),Own up and clean the mats immediately,Blame the cleaning crew,Leave it for the next class to do,Post about it online as a joke
A higher-ranking student asks you to cover for them when they skip warm-ups.,What should you do? (Meiyo - Honor),"Refuse and practice honesty, showing honor to the dojo",Agree to cover for them to gain favor,Tell others about it to embarrass them,Ignore the warm-ups too
Someone says something untrue about your dojo outside of class.,How should you protect the dojo's reputation? (Meiyo - Honor),Address the rumor calmly and correct misinformation,Start a rumor about someone else,Attack them online angrily,Ignore it and do nothing
Your best friend asks you to keep a secret that could harm another student.,What should you do? (Chugi - Loyalty),Talk to your friend but report the harmful secret to the coach,Keep the secret no matter what,Use the secret to manipulate someone,Tell everyone the secret for attention
The dojo is organizing a charity demonstration and needs volunteers.,What is the loyal response? (Chugi - Loyalty),Volunteer to help and support the dojo's goals,Refuse because it's not fun,Show up late and leave early,Demand payment for volunteering
You win a match but notice a judge made a scoring error that helped you.,What should you do? (Gi - Integrity),Inform the official and accept the correct result,Keep quiet and celebrate,Argue with the judge to keep the win,Try to bribe the judge later
A teammate is struggling with fitness and is frustrated.,How can you show courage alongside them? (Yu - Courage),Train with them and push through difficult sets together,Tell them they’re weak and should quit,Avoid training with them,Mock their effort to motivate them
A student in class is dealing with personal problems and misses practice.,What is a merciful response? (Jin - Mercy),Check on them privately and offer support,Spread gossip about why they missed,Ignore them until they return,Complain to the instructor publicly
Your instructor asks you to clean the dojo after class.,How should you respond? (Rei - Respect),Clean thoroughly and thank the instructor for the guidance,Do a sloppy job and leave early,Argue that it’s not your responsibility,Do nothing
You find a wallet in the dojo parking lot.,What is the honest thing to do? (Makoto - Honesty),Turn it in to the front desk or instructor immediately,Keep the money and discard the wallet,Take it home and open it later,Post about the find on social media
A teammate sacrifices their time to help you prepare for a belt test.,How should you show honor? (Meiyo - Honor),Express gratitude and acknowledge their help publicly,Forget to thank them,Use their help but belittle them later,Claim credit for their teaching
Your dojo is facing criticism online from someone who wasn't there.,How can you stay loyal to your dojo? (Chugi - Loyalty),"Share facts calmly, support teammates, and report abuse to instructors",Attack the critic with insults,Ignore the criticism and retaliate privately,Encourage others to cancel the critic
A classmate asks you to lie about their attendance to get a reward.,What should you do? (Gi - Integrity),Refuse and explain why honesty matters,Agree to lie to help them,Coerce someone else to lie instead,Forge a signature later
"You are afraid to try a new, harder kata in front of the class.",What shows courage? (Yu - Courage),Attempt it with your best effort and accept imperfection,Refuse and say you forgot,Blame your uniform for poor performance,Pretend to injure yourself
A younger student keeps making up excuses to avoid drills.,How do you show mercy while keeping standards? (Jin - Mercy),Encourage them kindly and offer alternatives to help them improve,Punish them publicly to set an example,Ignore them completely,Give them special treatment without consequences
Someone disrespects the dojo rules during a public demonstration.,How should you respond with respect? (Rei - Respect),Correct them calmly and model the expected behavior,Shout at them during the demo,Walk off the demonstration,Make fun of them later
You borrowed a book from a teammate and damaged it accidentally.,What is the truthful action? (Makoto - Honesty),"Tell them, apologize, and offer to repair or replace it",Hide the damage and deny it,Blame someone else,Sell the book to avoid confrontation
A teammate refuses to help you in practice because of a past disagreement.,How can you act with honor? (Meiyo - Honor),Approach them respectfully and try to reconcile,Ignore them and spread rumors,Sabotage their practice,Publicly call them out
Your dojo needs help moving equipment before an event.,What is a loyal response? (Chugi - Loyalty),Show up early and help without being asked,Only help if you get rewarded,Arrive late and complain,Refuse because it’s inconvenient
A friend is about to post an embarrassing photo of a teammate online.,What is the ethical response? (Gi - Integrity),Ask them not to post and explain the harm it could cause,Encourage them to post for likes,Share it secretly with others,Post it yourself later
You make a mistake during a test in front of senior students.,What is the courageous way to handle it? (Yu - Courage),"Admit the mistake, learn from it, and try again",Pretend it never happened,Blame equipment or others,Laugh it off and ignore feedback
